product_category_name,revenue,order_freq
agro_industry_and_commerce,72530.47,212
air_conditioning,55024.96,297
art,24202.64,209
arts_and_craftmanship,1814.01,24
audio,50688.5,364
auto,592720.11,4235
baby,411764.89,3065
bed_bath_table,1036988.68,11115
books_general_interest,46856.88,553
books_imported,4639.85,60
books_technical,19096.06,267
cds_dvds_musicals,730.0,14
christmas_supplies,8800.82,153
cine_photo,6933.46,72
computers,222963.13,203
computers_accessories,911954.32,7827
consoles_games,157465.22,1137
construction_tools_construction,144677.59,929
construction_tools_lights,41080.0,304
construction_tools_safety,40544.52,194
cool_stuff,635290.85,3796
costruction_tools_garden,25715.89,238
costruction_tools_tools,15903.95,103
diapers_and_hygiene,1567.59,39
drinks,22428.7,379
dvds_blu_ray,5999.39,64
electronics,160246.74,2767
fashio_female_clothing,2803.64,48
fashion_bags_accessories,152823.54,2031
fashion_childrens_clothes,569.85,8
fashion_male_clothing,10797.82,132
fashion_shoes,23562.77,262
fashion_sport,2119.51,30
fashion_underwear_beach,9541.55,131
fixed_telephony,59583.0,264
flowers,1110.04,33
food,29393.41,510
food_drink,15179.48,278
furniture_bedroom,20028.78,109
furniture_decor,729762.49,8334
furniture_living_room,68916.56,503
furniture_mattress_and_upholstery,4368.08,38
garden_tools,485256.46,4347
health_beauty,1258681.34,9670
home_appliances,80171.53,771
home_appliances_2,113317.74,238
home_comfort_2,760.27,30
home_confort,58572.04,434
home_construction,83088.12,604
housewares,632248.66,6964
industry_commerce_and_business,39669.61,268
kitchen_dining_laundry_garden_furniture,46328.37,281
la_cuisine,2054.99,14
luggage_accessories,140429.98,1092
market_place,28378.47,311
music,6034.35,38
musical_instruments,191498.88,680
no_data,178972.28,1586
office_furniture,273960.7,1691
party_supplies,4485.18,43
pc_gamer,1545.95,9
perfumery,399124.87,3419
pet_shop,214315.41,1947
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,15
security_and_services,283.28999999999996,2
signaling_and_security,21509.23,199
small_appliances,190648.58,679
small_appliances_home_oven_and_coffee,47445.71,76
sports_leisure,988048.97,8641
stationery,230943.23,2517
tablets_printing_image,7528.41,83
telephony,323667.52999999997,4545
toys,483946.6,4117
watches_gifts,1205005.68,5991
